Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
INTU,339.15,90633084928,8838000000.0,8842000000.0,-221000000.0,-221000000.0,846000000.0,False,256000000.0,1451000000.0,752000000.0,6162000000.0,0.06798841730804117,0.14286998540558393,Technology,🔴 Caro
ADBE,265.6,105576005632,10031000000.0,9426000000.0,-179000000.0,-179000000.0,818000000.0,False,263000000.0,1604000000.0,438000000.0,6942000000.0,0.06575357685151792,0.10522339932516123,Technology,🔴 Caro
UNIP6.SA,57.04,6370202624,1109123000.0,1287538000.0,-316150000.0,-1075968000.0,316150000.0,True,385290000.0,166976000.0,10726000.0,408396000.0,0.06411036259056364,-0.10900178640452762,Basic Materials,🔴 Caro
GILD,146.41,181541847040,10019000000.0,13967000000.0,-563000000.0,-563000000.0,2760000000.0,False,1024000000.0,1286000000.0,0.0,11094000000.0,0.06110987731415779,0.025736179862614117,Healthcare,🔴 Caro
MDIA3.SA,17.05,5721502720,1407929000.0,1167980000.0,-276172000.0,-276172000.0,412058000.0,False,183725000.0,48453000.0,322005000.0,337625000.0,0.05900984697950122,0.010045740902856481,Consumer Defensive,🔴 Caro
BMY,64.1,130938003456,14156000000.0,14611000000.0,-1311000000.0,-1311000000.0,4011000000.0,False,1891000000.0,2272000000.0,2028000000.0,7109000000.0,0.0542928700023205,0.01449177656319045,Healthcare,🔴 Caro
CXSE3.SA,20.06,60179996672,3840433000.0,3778722000.0,0.0,0.0,0.0,False,2127000.0,538229000.0,0.0,3238366000.0,0.053811335644468675,0.1335930117098778,Financial Services,🔴 Caro
EVEN3.SA,4.1,813453632,88842000.0,134925000.0,-4127000.0,-35500000.0,4127000.0,True,35376000.0,52266000.0,0.0,43156000.0,0.05305280879242543,-0.06081177547620453,Real Estate,🔴 Caro
SMTO3.SA,19.74,6371544576,3224879000.0,3061661000.0,-1086030000.0,-2518096000.0,1086030000.0,True,789391000.0,295606000.0,560449000.0,330185000.0,0.05182181432799255,0.038913291103036984,Basic Materials,🔴 Caro
ABEV3.SA,15.87,244659650560,24450400000.0,26066400000.0,-4590500000.0,-4590500000.0,6832100000.0,False,2720700000.0,3433300000.0,2975700000.0,12346200000.0,0.05046275498121924,0.03448415778904379,Consumer Defensive,🔴 Caro
