Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
MULT3.SA,34.43,16884742144,1463917000.0,1463917000.0,-37775000.0,-37775000.0,137757000.0,False,673900000.0,186710000.0,0.0,565532000.0,0.03349367110121738,0.15072157423658994,Real Estate,🔴 Caro
MDT,85.0,109130219520,7044000000.0,7044000000.0,-1859000000.0,-1859000000.0,2861000000.0,False,729000000.0,936000000.0,58000000.0,3462000000.0,0.03172356855165611,0.019104996811027286,Healthcare,🔴 Caro
VBBR3.SA,33.36,39783694336,6666000000.0,6666000000.0,-1452000000.0,-1452000000.0,1068000000.0,False,2713000000.0,473000000.0,851000000.0,1177000000.0,0.029584984995597568,0.014146632171119222,Consumer Cyclical,🔴 Caro
NOW,99.72,104307122176,5444000000.0,5444000000.0,-911000000.0,-911000000.0,738000000.0,False,23000000.0,513000000.0,912000000.0,3085000000.0,0.029576120361125512,0.22376517864742618,Technology,🔴 Caro
TAEE11.SA,45.86,15798720512,1531430000.0,1531430000.0,-43797000.0,-43797000.0,63258000.0,False,915554000.0,119011000.0,614000.0,452454000.0,0.02863864827891197,0.2090241036104803,Utilities,🔴 Caro
MRK,117.1,289517076480,16472000000.0,16472000000.0,-4112000000.0,-4112000000.0,5838000000.0,False,1357000000.0,2804000000.0,0.0,8199000000.0,0.028319573061751303,0.03122213027882159,Healthcare,🔴 Caro
CPFE3.SA,55.42,63857938432,7162797000.0,7162797000.0,-390484000.0,-390484000.0,2397217000.0,False,2645164000.0,2348694000.0,0.0,1778455000.0,0.027850178750975684,0.04077951879854691,Utilities,🔴 Caro
V,313.94,605288726528,23059000000.0,23059000000.0,-1482000000.0,-1482000000.0,1220000000.0,False,589000000.0,4136000000.0,0.0,16852000000.0,0.027841258661242298,0.10921242130254294,Financial Services,🔴 Caro
LWSA3.SA,4.15,2275568128,347654000.0,347654000.0,-122855000.0,-122855000.0,142027000.0,False,7375000.0,78974000.0,75473000.0,62977000.0,0.027675286547166826,0.09447071472706203,Technology,🔴 Caro
HYPE3.SA,23.49,16525260800,2574431000.0,2574431000.0,-799362000.0,-799362000.0,317223000.0,False,1043670000.0,290754000.0,0.0,440645000.0,0.0266649346919838,0.006704433804989085,Healthcare,🔴 Caro
MA,516.65,461077970944,17648000000.0,17648000000.0,-1215000000.0,-1215000000.0,1143000000.0,False,722000000.0,3610000000.0,0.0,12101000000.0,0.02624501876596859,0.1382198495222513,Financial Services,🔴 Caro
BBSE3.SA,35.28,68487245824,3710770000.0,3710770000.0,0.0,0.0,0.0,False,2186000.0,1924039000.0,0.0,1784545000.0,0.026056603365040582,0.09737349629767356,Financial Services,🔴 Caro
CSMG3.SA,58.03,22003898368,2331554000.0,2331554000.0,-810108000.0,-810108000.0,946439000.0,False,524297000.0,333401000.0,96992000.0,566756000.0,0.025757072247898867,0.10483095451513536,Utilities,🔴 Caro
IBM,253.71,238083768320,13193000000.0,13193000000.0,-1738000000.0,-1738000000.0,5021000000.0,False,1935000000.0,242000000.0,3347000000.0,5931000000.0,0.024911400058270045,0.03718179905928398,Technology,🔴 Caro
ABT,96.0,166817562624,9566000000.0,9566000000.0,-2171000000.0,-2171000000.0,3116000000.0,False,493000000.0,1942000000.0,931000000.0,4029000000.0,0.02415213324439467,0.005127944169646348,Healthcare,🔴 Caro
PG,144.49,337634623488,17817000000.0,17817000000.0,-3773000000.0,-3773000000.0,2847000000.0,False,907000000.0,4102000000.0,956000000.0,8079000000.0,0.023928233178630565,0.01674893047051751,Consumer Defensive,🔴 Caro
PLD,145.03,135201406976,5008434000.0,5008434000.0,0.0,0.0,2626028000.0,False,972259000.0,204017000.0,643461000.0,3188697000.0,0.023584791544114886,0.13741104437395912,Real Estate,🔴 Caro
ODPV3.SA,15.6,8503453696,590054000.0,590054000.0,-84967000.0,-84967000.0,310277000.0,False,42599000.0,247113000.0,20822000.0,194553000.0,0.022879291985974732,0.09281702284438298,Healthcare,🔴 Caro
JNJ,230.69,555939594240,24530000000.0,24530000000.0,-5217000000.0,-5217000000.0,7503000000.0,False,971000000.0,5777000000.0,0.0,12565000000.0,0.022601376354884465,0.05599284954178807,Healthcare,🔴 Caro
DHR,195.5,138355228672,6416000000.0,6416000000.0,-1156000000.0,-1156000000.0,2447000000.0,False,265000000.0,633000000.0,1278000000.0,3084000000.0,0.02229044778142261,-0.026665255865112814,Healthcare,🔴 Caro
